TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2644000000.0	132122625.5	111177762.4	150579213.8
2645000000.0	132136829.5	111186037.1	150602870.6
2646000000.0	132151026.5	111194307.0	150626519.4
2647000000.0	132165216.4	111202572.1	150650160.0
2648000000.0	132179399.2	111210832.4	150673792.6
2649000000.0	132193575.0	111219087.9	150697417.2
2650000000.0	132207743.8	111227338.5	150721033.7
2651000000.0	132221905.5	111235584.3	150744642.1
2652000000.0	132236060.1	111243825.4	150768242.5
2653000000.0	132250207.7	111252061.6	150791834.9
2654000000.0	132264348.3	111260293.0	150815419.2
2655000000.0	132278481.9	111268519.7	150838995.5
2656000000.0	132292608.5	111276741.5	150862563.7
2657000000.0	132306728.0	111284958.6	150886123.9
2658000000.0	132320840.6	111293170.9	150909676.1
2659000000.0	132334946.1	111301378.4	150933220.3
2660000000.0	132349044.6	111309581.2	150956756.5
2661000000.0	132363136.2	111317779.2	150980284.7
2662000000.0	132377220.7	111325972.4	151003804.9
2663000000.0	132391298.3	111334160.8	151027317.0
2664000000.0	132405368.9	111342344.5	151050821.2
2665000000.0	132419432.6	111350523.5	151074317.4
2666000000.0	132433489.2	111358697.7	151097805.6
2667000000.0	132447539.0	111366867.2	151121285.8
2668000000.0	132461581.7	111375031.9	151144758.1
2669000000.0	132475617.5	111383191.9	151168222.3
2670000000.0	132489646.4	111391347.2	151191678.6
2671000000.0	132503668.3	111399497.7	151215127.0
2672000000.0	132517683.3	111407643.5	151238567.4
2673000000.0	132531691.4	111415784.6	151261999.8
2674000000.0	132545692.5	111423921.0	151285424.3
2675000000.0	132559686.7	111432052.7	151308840.8
2676000000.0	132573674.0	111440179.7	151332249.4
2677000000.0	132587654.4	111448302.0	151355650.1
2678000000.0	132601627.9	111456419.6	151379042.8
2679000000.0	132615594.5	111464532.5	151402427.6
2680000000.0	132629554.2	111472640.7	151425804.5
2681000000.0	132643507.1	111480744.2	151449173.5
2682000000.0	132657453.0	111488843.0	151472534.5
2683000000.0	132671392.1	111496937.2	151495887.6
2684000000.0	132685324.2	111505026.7	151519232.9
2685000000.0	132699249.6	111513111.5	151542570.2
2686000000.0	132713168.0	111521191.6	151565899.6
2687000000.0	132727079.6	111529267.1	151589221.2
2688000000.0	132740984.4	111537338.0	151612534.8
2689000000.0	132754882.3	111545404.2	151635840.6
2690000000.0	132768773.4	111553465.7	151659138.5
2691000000.0	132782657.6	111561522.6	151682428.5
2692000000.0	132796535.0	111569574.8	151705710.6
2693000000.0	132810405.6	111577622.5	151728984.9
2694000000.0	132824269.3	111585665.5	151752251.3
2695000000.0	132838126.2	111593703.8	151775509.9
2696000000.0	132851976.4	111601737.5	151798760.6
2697000000.0	132865819.7	111609766.7	151822003.4
2698000000.0	132879656.2	111617791.2	151845238.5
2699000000.0	132893485.9	111625811.1	151868465.6
2700000000.0	132907308.9	111633826.3	151891685.0
2701000000.0	132921125.0	111641837.0	151914896.5
2702000000.0	132934934.4	111649843.1	151938100.1
2703000000.0	132948737.0	111657844.6	151961296.0
2704000000.0	132962532.8	111665841.5	151984484.0
2705000000.0	132976321.8	111673833.8	152007664.2
2706000000.0	132990104.1	111681821.5	152030836.7
2707000000.0	133003879.7	111689804.6	152054001.3
2708000000.0	133017648.5	111697783.2	152077158.1
2709000000.0	133031410.5	111705757.2	152100307.1
2710000000.0	133045165.8	111713726.6	152123448.3
2711000000.0	133058914.4	111721691.4	152146581.7
2712000000.0	133072656.2	111729651.7	152169707.3
2713000000.0	133086391.3	111737607.5	152192825.2
2714000000.0	133100119.7	111745558.7	152215935.3
2715000000.0	133113841.4	111753505.3	152239037.6
2716000000.0	133127556.3	111761447.4	152262132.1
