gene_short_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,score
CR6434,43.64016975208535,-0.11924920651084153,0.570057599014314,-2.6708566089136245,,,
Rbbp5,12.42814126185284,-0.30791300892842266,0.5490264147671877,-1.0472754066456738,0.2949725754487166,0.5480770794268555,0.530218359903006
eRF1,191.92051875152106,-0.24192206483426226,0.15263991769537272,-1.6780820351852015,0.09333108529101573,0.2597852422174143,1.029973683993139
CG5618,27.245315978554647,-0.7429551611022848,0.35916710276134267,-2.5212397308589427,0.011694215061655232,0.053338528881741544,1.9320289235625885
RhoBTB,37.7221523073182,-0.21672826041954793,0.24887712427388117,-1.0117719105358614,0.31164712343707435,0.5675378622508316,0.5063368773751302
CG13248,3.2644030823349977,4.491921713762399,2.076005218779053,2.355700884999719,0.018487797742769537,0.0762663236020243,1.7331148187015777
CG5274,8.006187048874539,0.30738213082301563,0.4933158731305575,1.0405814396122375,0.29806984897443556,0.5513458277592677,0.5256819524688191
CG5262,5.27758367248905,0.10611520440812251,0.5447178476743866,0.39161503543374254,0.6953426768530216,0.865697643410921,0.1578011148499861
mRpL15,48.017550024668154,-0.7886237917473321,0.24711407770290378,-3.5051976173171013,0.0004562684739130081,0.003934677945222487,3.3407795379742593
CG5872,5.811462413148521,-0.02318647339257652,0.5037565933169336,-0.08735385025855705,0.9303902512504969,0.9722669161795799,0.03133484884957347
CG5910,13.33787505261038,-0.21135089275477148,0.5180654774654111,-0.749438228519808,0.45359311686429005,0.6957232472982549,0.34333354435002156
CG5199,8.579084094443346,0.22208563868162656,0.46494836047179733,0.7785766621683259,0.43622913108563743,0.6840764363713615,0.3602853358978355
mag,76.39011106281977,-3.378245460273025,1.1075765024036057,-3.7694714250985406,0.000163593636045912,0.0016458942339575668,3.786233594820568
CG5969,22.640640210097864,-0.08880932158869607,0.3163732664708013,-0.361045093138421,0.718065737893,0.8780741582320382,0.14383579489794449
isoQC,3.796526571910487,0.5159912054373202,0.7986248281793288,1.614042679793033,0.10651816908546563,0.28565527049505085,0.9725763071496655
ZnT77C,1.6337838063283348,0.38223449191445014,1.1080195078159314,1.6668617630337512,0.09554189559901509,,1.0198061463473556
CG6020,45.73065582736693,-0.36722242759559026,0.27234250275824257,-1.5858189509581255,0.11278038548293505,0.29723668793566255,0.9477664253282168
CG5059,128.38149258951768,-0.09865631663979563,0.2818798583484495,-0.4289554896820383,0.6679556169242492,0.8475503368101147,0.1752523937598732
mTerf3,18.496288914588952,-0.2056793997799249,0.34424298230121053,-0.7908289138331359,0.42904383490558295,0.6786106862416398,0.3674983341904059
CG5104,47.00716278973397,-0.22569653936645206,0.22447965265111117,-1.1358974050188146,0.2559995044807266,0.5056323963253407,0.5917608753189879
CG4825,9.021640666927723,-0.04484307517536421,0.44282936779189175,-0.16526868966153907,0.8687325019342808,0.948545032418698,0.06111392990101619
CG4858,38.7825352507373,-0.27308244764987777,0.24588795321430312,-1.2803273582754968,0.20043002980535762,0.43337729143550896,0.6980372089439827
Rcd2,13.08796088229165,0.10515064280255847,0.5302632144386222,0.384251776101105,0.7007918465256944,0.8684168418208722,0.15441095967887183
cmpy,1.934651883870598,0.9190753550732922,1.7514729681701438,1.937854252644918,0.05264100660244005,,1.2786758147264443
CG13252,59.79491866758766,-0.7128502194387852,0.24230140799913305,-3.2444237101688804,0.0011768853834681363,0.008528119344505012,2.929265830912848
CG4074,6.682724433142423,0.13564410615840836,0.49369798852078517,0.48584027462133167,0.6270804168081359,0.8222879209448581,0.2026767616627992
CG4042,31.464440791598015,0.06775556987512253,0.30696531594705445,0.2780846524597248,0.7809473768349853,0.9102232259346855,0.10737822952879615
Pex16,19.718950417453577,0.29857197945727665,0.3419718592456718,1.1370816775600998,0.25550414268229127,0.5048988780246132,0.592602053926631
Pex14,89.551140144166,0.6369714617943755,0.20907953406167165,3.3024553666222616,0.0009584233950075524,0.007231929574067857,3.0184425937457937
CG11399,5.328957918472811,0.34071858641387426,0.5922626520235129,1.1410208426806767,0.2538612496109355,0.5032280967444643,0.5954035865012514
CG11396,2.968981232421155,-0.036976385011729576,0.5953777013514682,-0.15043308054257132,0.8804229437228375,,0.05530864830589226
CG4365,28.41593111146967,0.3916073432979381,0.2970088544710327,1.5952289559016206,0.1106610458481663,0.2934335295179414,0.9560052296221266
Spc105R,2.3557937670804208,1.4795956950629243,1.3902334752556045,2.1615934196811972,0.030649529120363738,,1.5135761933151768
CG3634,7.341769530000225,-0.07783637676073069,0.46445396941647615,-0.28471582690282154,0.7758618641772994,0.906448895290071,0.11021559441931521
