TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8453000000.0	208541020.6	168148556.8	341014056.8
8454000000.0	208546016.9	168151014.9	341037770.7
8455000000.0	208551012.4	168153472.4	341061483.1
8456000000.0	208556007.0	168155929.5	341085194.0
8457000000.0	208561000.7	168158386.1	341108903.4
8458000000.0	208565993.5	168160842.1	341132611.3
8459000000.0	208570985.4	168163297.7	341156317.7
8460000000.0	208575976.4	168165752.8	341180022.6
8461000000.0	208580966.5	168168207.4	341203726.0
8462000000.0	208585955.8	168170661.4	341227427.9
8463000000.0	208590944.2	168173115.0	341251128.3
8464000000.0	208595931.6	168175568.1	341274827.2
8465000000.0	208600918.2	168178020.7	341298524.6
8466000000.0	208605903.9	168180472.8	341322220.5
8467000000.0	208610888.7	168182924.4	341345914.8
8468000000.0	208615872.7	168185375.5	341369607.7
8469000000.0	208620855.7	168187826.1	341393299.1
8470000000.0	208625837.9	168190276.2	341416989.0
8471000000.0	208630819.2	168192725.8	341440677.4
8472000000.0	208635799.5	168195174.9	341464364.2
8473000000.0	208640779.0	168197623.6	341488049.6
8474000000.0	208645757.7	168200071.7	341511733.5
8475000000.0	208650735.4	168202519.3	341535415.8
8476000000.0	208655712.3	168204966.5	341559096.7
8477000000.0	208660688.2	168207413.1	341582776.1
8478000000.0	208665663.3	168209859.3	341606453.9
8479000000.0	208670637.5	168212304.9	341630130.3
8480000000.0	208675610.8	168214750.1	341653805.2
8481000000.0	208680583.3	168217194.7	341677478.5
8482000000.0	208685554.8	168219638.9	341701150.4
8483000000.0	208690525.5	168222082.6	341724820.8
8484000000.0	208695495.3	168224525.8	341748489.6
8485000000.0	208700464.2	168226968.5	341772157.0
8486000000.0	208705432.2	168229410.7	341795822.9
8487000000.0	208710399.3	168231852.4	341819487.3
8488000000.0	208715365.6	168234293.6	341843150.1
8489000000.0	208720331.0	168236734.3	341866811.5
8490000000.0	208725295.5	168239174.5	341890471.4
8491000000.0	208730259.1	168241614.3	341914129.8
8492000000.0	208735221.8	168244053.5	341937786.6
8493000000.0	208740183.7	168246492.3	341961442.0
8494000000.0	208745144.7	168248930.5	341985095.9
8495000000.0	208750104.8	168251368.3	342008748.3
